"","lead","non","year"
"35367","54106-66","54106-66",2013
"35368","11215-54","11215-54",2010
"35369","57999-43","11215-54",2010
"35370","11215-54","57999-43",2010
"35371","57999-43","57999-43",2010
"35372","50931-73","50931-73",2013
"35373","54023-95","50931-73",2013
"35374","50931-73","54023-95",2013
"35375","54023-95","54023-95",2013
"35376","55537-03","42955-30",2006
"35377","55537-03","55537-03",2006
"35378","59950-63","11128-69",2013
"35379","59950-63","59950-63",2013
"35380","52830-64","52568-20",2015
"35381","52830-64","52830-64",2015
"35382","52830-64","61962-67",2015
"35383","52830-64","98013-52",2015
"35384","54378-64","40312-09",2013
"35385","54378-64","54378-64",2013
"35386","10134-73","10134-73",2013
"35387","11118-79","10134-73",2013
"35388","10134-73","11118-79",2013
"35389","11118-79","11118-79",2013
"35390","54690-22","11136-97",2012
"35391","54690-22","54690-22",2012
"35392","42976-72","11225-44",2013
"35393","43081-57","11225-44",2013
"35394","42976-72","42976-72",2013
"35395","43081-57","42976-72",2013
"35396","42976-72","43081-57",2013
"35397","43081-57","43081-57",2013
"35398","168558-13","168558-13",2013
"35399","168558-13","59963-32",2013
"35400","89936-74","168558-13",2013
"35401","89936-74","59963-32",2013
"35402","89936-74","89936-74",2013
"35403","11318-77","11318-77",2013
"35404","11318-77","44756-83",2013
"35405","51468-94","11110-24",2013
"35406","51468-94","157850-38",2013
"35407","51468-94","51468-94",2013
"35408","51468-94","54950-95",2013
"35409","51468-94","55261-00",2013
"35410","51468-94","59264-65",2013
"35411","51468-94","61910-11",2013
"35412","10139-41","10139-41",2013
"35413","10139-41","11227-60",2013
"35414","11329-48","11133-01",2013
"35415","51167-44","11133-01",2013
"35416","11329-48","11309-86",2013
"35417","51167-44","11309-86",2013
"35418","11329-48","11329-48",2013
"35419","51167-44","11329-48",2013
"35420","11329-48","51167-44",2013
"35421","51167-44","51167-44",2013
"35422","11329-48","93383-56",2013
"35423","51167-44","93383-56",2013
"35424","59916-43","10364-77",2013
"35425","59916-43","51189-94",2013
"35426","59916-43","59916-43",2013
"35427","11251-81","11124-64",2013
"35428","11251-81","11251-81",2013
"35429","11251-81","44459-38",2013
"35430","11251-81","59932-45",2013
"35431","59977-00","53975-26",2013
"35432","59977-00","59977-00",2013
"35433","59977-00","59977-63",2013
"35434","10123-03","10123-03",2013
"35435","10123-03","53906-41",2013
"35436","11333-26","11333-26",2013
"35437","11333-26","50980-69",2013
"35438","11333-26","52649-11",2013
"35439","11333-26","53452-18",2013
"35440","170053-39","10401-94",2013
"35441","170053-39","170053-39",2013
"35442","10271-98","10271-98",2013
"35443","10271-98","11133-01",2013
"35444","10271-98","54207-19",2013
"35445","41716-90","10133-20",2013
"35446","41716-90","41716-90",2013
"35447","41716-90","50980-60",2013
"35448","10346-14","10346-14",2011
"35449","10346-14","11234-26",2011
"35450","10346-14","39717-73",2011
"35451","10346-14","56607-31",2011
"35452","11207-44","10346-14",2014
"35453","11207-44","10367-47",2014
"35454","11207-44","11207-44",2014
"35455","11207-44","11234-26",2014
"35456","11207-44","39717-73",2014
"35457","11207-44","56607-31",2014
"35458","10346-14","10346-14",2013
"35459","10346-14","11171-26",2013
"35460","54378-64","54378-64",2013
"35461","54378-64","57296-08",2013
"35462","54378-64","57296-17",2013
"35463","11216-98","11216-98",2013
"35464","11216-98","59990-77",2013
"35465","10914-67","10914-67",2010
"35466","10914-67","11197-00",2010
"35467","10914-67","11199-79",2010
"35468","54589-15","54589-15",2013
"35469","59995-09","54589-15",2013
"35470","54589-15","59995-09",2013
"35471","59995-09","59995-09",2013
"35472","65912-59","11263-24",2013
"35473","65912-59","11303-83",2013
"35474","65912-59","52247-89",2013
"35475","65912-59","65912-59",2013
"35476","11146-33","11146-33",2011
"35477","11146-33","52348-33",2011
"35478","52753-96","52753-96",2013
"35479","53324-20","52753-96",2013
"35480","52753-96","53324-20",2013
"35481","53324-20","53324-20",2013
"35482","10020-07","10020-07",2013
"35483","10020-07","56262-61",2013
"35484","57775-51","53325-55",2013
"35485","57775-51","57775-51",2013
"35486","53975-26","53975-26",2013
"35487","53975-26","56148-13",2013
"35488","53975-26","59977-63",2013
"35489","11192-14","11170-09",2013
"35490","11192-14","11192-14",2013
"35491","11192-14","51016-60",2013
"35492","11288-71","11165-23",2013
"35493","11288-71","11288-71",2013
"35494","11288-71","11338-84",2013
"35495","11288-71","58600-09",2013
"35496","11288-71","61386-22",2013
"35497","11166-76","106771-51",2014
"35498","11166-76","11166-76",2014
"35499","11166-76","53324-20",2014
"35500","42348-43","11921-95",2013
"35501","42348-43","42348-43",2013
"35502","42348-43","56628-91",2013
"35503","170053-39","11109-61",2013
"35504","170053-39","170053-39",2013
"35505","11255-50","11255-50",2013
"35506","11255-50","51061-60",2013
"35507","11255-50","60009-22",2013
"35508","51022-00","51022-00",2013
"35509","51022-00","55725-31",2013
"35510","51022-00","58263-58",2013
"35511","11165-23","10411-93",2013
"35512","11165-23","11165-23",2013
"35513","11165-23","25380-82",2013
"35514","11231-38","10557-73",2013
"35515","11231-38","11231-38",2013
"35516","11175-13","11105-29",2013
"35517","11175-13","11175-13",2013
"35518","11129-86","11129-86",2006
"35519","11129-86","11513-26",2006
"35520","11129-86","52907-41",2006
"35521","48176-38","103429-54",2013
"35522","48176-38","48176-38",2013
"35523","48176-38","50980-60",2013
"35524","48176-38","52296-76",2013
"35525","48176-38","52604-38",2013
"35526","48176-38","54726-76",2013
"35527","53333-83","51639-67",2013
"35528","53333-83","51768-10",2013
"35529","53333-83","53333-83",2013
"35530","11222-20","11222-20",2013
"35531","54625-87","11222-20",2013
"35532","91434-07","11222-20",2013
"35533","11222-20","54625-87",2013
"35534","54625-87","54625-87",2013
"35535","91434-07","54625-87",2013
"35536","11222-20","91434-07",2013
"35537","54625-87","91434-07",2013
"35538","91434-07","91434-07",2013
"35539","11333-44","11159-74",2013
"35540","11333-44","11259-82",2013
"35541","11333-44","11333-44",2013
"35542","11333-44","53975-26",2013
"35543","11288-71","11288-71",2012
"35544","11288-71","42944-05",2012
"35545","42202-18","40829-14",2013
"35546","42202-18","42202-18",2013
"35547","11197-00","11197-00",2012
"35548","11197-00","11199-79",2012
"35549","11197-00","11240-02",2012
"35550","11275-75","11275-75",2014
"35551","11275-75","53885-26",2014
"35552","11275-75","62707-51",2014
"35553","42329-89","42329-89",2014
"35554","42329-89","52370-29",2014
"35555","42329-89","99192-52",2014
"35556","11146-33","11146-33",2014
"35557","91434-07","11146-33",2014
"35558","11146-33","91434-07",2014
"35559","91434-07","91434-07",2014
"35560","11300-32","11300-32",2013
"35561","11300-32","149677-03",2013
"35562","11300-32","51762-25",2013
"35563","11253-52","11253-52",2013
"35564","11253-52","91166-59",2013
"35565","11216-98","11132-20",2012
"35566","11216-98","11216-98",2012
"35567","11216-98","170053-39",2012
"35568","10123-03","10123-03",2013
"35569","10123-03","11867-23",2013
"35570","10123-03","56833-03",2013
"35571","42365-62","11322-28",2012
"35572","42365-62","42365-62",2012
"35573","11240-47","11216-26",2013
"35574","11240-47","11240-47",2013
"35575","11240-47","11867-23",2013
"35576","11240-47","41716-90",2013
"35577","52524-82","52524-82",2013
"35578","52524-82","57226-24",2013
"35579","11139-04","11139-04",2013
"35580","11852-02","11139-04",2013
"35581","11139-04","11852-02",2013
"35582","11852-02","11852-02",2013
"35583","11139-04","42134-05",2013
"35584","11852-02","42134-05",2013
"35585","11139-04","52698-52",2013
"35586","11852-02","52698-52",2013
"35587","53670-61","42943-96",2014
"35588","53670-61","53670-61",2014
"35589","42389-47","42389-47",2009
"35590","42389-47","60197-14",2009
"35591","55162-36","11250-10",2012
"35592","55162-36","55162-36",2012
"35593","55162-36","60489-19",2012
"35594","10139-41","10139-41",2013
"35595","10139-41","11216-98",2013
"35596","10139-41","11323-45",2013
"35597","10139-41","55346-14",2013
"35598","42871-51","11219-05",2014
"35599","42871-51","42202-81",2014
"35600","42871-51","42871-51",2014
"35601","42871-51","53498-35",2014
"35602","42871-51","59043-07",2014
"35603","54287-83","54287-83",2012
"35604","54287-83","56255-86",2012
"35605","54287-83","58917-79",2012
"35606","11231-38","10557-73",2012
"35607","11231-38","11231-38",2012
"35608","60056-29","58855-33",2013
"35609","60056-29","59896-81",2013
"35610","60056-29","60056-29",2013
"35611","60056-29","62033-86",2013
"35612","11171-08","11171-08",2006
"35613","11171-08","52563-61",2006
"35614","11288-71","11288-71",2013
"35615","11288-71","42944-05",2013
"35616","11274-04","10109-26",2005
"35617","11274-04","11274-04",2005
"35618","11274-04","52563-61",2005
"35619","11216-98","11216-98",2012
"35620","11216-98","11258-56",2012
"35621","11216-98","42520-24",2012
"35622","11284-48","11284-48",2013
"35623","55612-00","11284-48",2013
"35624","11284-48","11318-86",2013
"35625","55612-00","11318-86",2013
"35626","11284-48","49922-29",2013
"35627","55612-00","49922-29",2013
"35628","11284-48","55612-00",2013
"35629","55612-00","55612-00",2013
"35630","11284-48","58384-81",2013
"35631","55612-00","58384-81",2013
"35632","51249-34","11274-04",2013
"35633","51249-34","50980-24",2013
"35634","51249-34","51249-34",2013
"35635","51249-34","51322-24",2013
"35636","51249-34","51768-10",2013
"35637","51249-34","55271-44",2013
"35638","11293-66","10446-40",2013
"35639","11293-66","11118-97",2013
"35640","11293-66","11293-66",2013
"35641","11323-45","11323-45",2013
"35642","11323-45","60224-50",2013
"35643","11303-02","11303-02",2013
"35644","11303-02","41716-90",2013
"35645","11303-02","51327-55",2013
"35646","11303-02","52815-70",2013
"35647","11303-02","54305-83",2013
"35648","11230-12","11230-12",2013
"35649","11230-12","11329-48",2013
"35650","14183-74","11330-11",2014
"35651","14183-74","14183-74",2014
"35652","14183-74","51577-30",2014
"35653","14183-74","51756-04",2014
"35654","14183-74","55879-21",2014
"35655","56771-83","11268-64",2012
"35656","56771-83","11311-48",2012
"35657","56771-83","166399-48",2012
"35658","56771-83","56771-83",2012
"35659","11140-75","11140-75",2012
"35660","52274-89","11140-75",2012
"35661","11140-75","52274-89",2012
"35662","52274-89","52274-89",2012
"35663","11140-75","63424-81",2012
"35664","52274-89","63424-81",2012
"35665","11145-52","11145-52",2015
"35666","54287-83","11145-52",2015
"35667","11145-52","54287-83",2015
"35668","54287-83","54287-83",2015
"35669","11145-52","55787-59",2015
"35670","54287-83","55787-59",2015
"35671","11145-52","58910-86",2015
"35672","54287-83","58910-86",2015
"35673","62881-93","62857-81",2013
"35674","62881-93","62881-93",2013
"35675","54086-14","54086-14",2013
"35676","54086-14","55481-05",2013
"35677","54086-14","56610-55",2013
"35678","54086-14","58947-31",2013
"35679","11220-22","11148-67",2013
"35680","11220-22","11220-22",2013
"35681","11220-22","11297-98",2013
"35682","11220-22","11333-26",2013
"35683","11231-38","10557-73",2013
"35684","11231-38","11231-38",2013
"35685","11333-44","11333-44",2012
"35686","11333-44","52827-67",2012
"35687","11305-45","10181-17",2013
"35688","11305-45","10521-46",2013
"35689","11305-45","11220-04",2013
"35690","11305-45","11256-40",2013
"35691","11305-45","11305-45",2013
"35692","10139-41","10139-41",2014
"35693","10139-41","11331-37",2014
"35694","11320-66","11193-13",2013
"35695","11320-66","11237-50",2013
"35696","11320-66","11320-66",2013
"35697","53369-02","11309-86",2014
"35698","53369-02","53369-02",2014
"35699","10052-20","10052-20",2013
"35700","10052-20","10134-73",2013
"35701","10052-20","54576-64",2013
"35702","51594-22","51594-22",2012
"35703","52643-71","51594-22",2012
"35704","51594-22","52643-71",2012
"35705","52643-71","52643-71",2012
"35706","51594-22","56272-06",2012
"35707","52643-71","56272-06",2012
"35708","11105-29","11105-29",2012
"35709","11105-29","54169-03",2012
"35710","11175-13","11175-13",2012
"35711","11175-13","51700-69",2012
"35712","53451-10","53451-10",2012
"35713","53451-10","60785-83",2012
"35714","25380-82","25380-82",2012
"35715","25380-82","53284-51",2012
"35716","25380-82","56605-06",2012
"35717","52225-75","52225-75",2009
"35718","52225-75","53707-15",2009
"35719","50984-74","110331-10",2012
"35720","50984-74","50984-74",2012
"35721","50984-74","50994-64",2012
"35722","51311-35","51311-35",2013
"35723","51311-35","60101-65",2013
"35724","11166-58","10134-73",1996
"35725","11166-58","11132-38",1996
"35726","11166-58","11166-58",1996
"35727","11228-50","11133-01",2013
"35728","11228-50","11191-96",2013
"35729","11228-50","11228-50",2013
"35730","11228-50","11296-45",2013
"35731","11228-50","54207-19",2013
"35732","40764-07","11133-01",2013
"35733","40764-07","11237-95",2013
"35734","40764-07","40764-07",2013
"35735","55701-01","11286-73",2014
"35736","55701-01","54882-01",2014
"35737","55701-01","55701-01",2014
"35738","11216-98","11216-98",2012
"35739","11216-98","42284-62",2012
"35740","56841-49","42955-30",2011
"35741","56841-49","53975-26",2011
"35742","56841-49","56841-49",2011
"35743","10381-24","10381-24",2008
"35744","10381-24","56752-93",2008
"35745","10381-24","57228-67",2008
"35746","59977-00","12115-81",2006
"35747","59977-00","59977-00",2006
"35748","59977-00","60125-14",2006
"35749","11122-21","11122-21",2006
"35750","11122-21","11159-74",2006
"35751","10722-16","10722-16",2013
"35752","11154-43","10722-16",2013
"35753","10722-16","11114-11",2013
"35754","11154-43","11114-11",2013
"35755","10722-16","11154-43",2013
"35756","11154-43","11154-43",2013
"35757","10722-16","11266-84",2013
"35758","11154-43","11266-84",2013
"35759","10722-16","11277-37",2013
"35760","11154-43","11277-37",2013
"35761","10722-16","51625-27",2013
"35762","11154-43","51625-27",2013
"35763","11184-49","11184-49",2013
"35764","11184-49","53333-83",2013
"35765","39717-73","11159-74",2015
"35766","39717-73","11175-13",2015
"35767","39717-73","39717-73",2015
"35768","39717-73","56847-16",2015
"35769","11263-51","11263-51",2013
"35770","11274-22","11263-51",2013
"35771","11263-51","11274-22",2013
"35772","11274-22","11274-22",2013
"35773","57500-11","11227-60",2013
"35774","57500-11","11251-81",2013
"35775","57500-11","57500-11",2013
"35776","10139-41","10052-20",2013
"35777","10139-41","10139-41",2013
"35778","10139-41","11318-86",2013
"35779","10139-41","11331-91",2013
"35780","10139-41","11333-26",2013
"35781","10139-41","42508-00",2013
"35782","10139-41","51118-21",2013
"35783","10139-41","56302-03",2013
"35784","10139-41","57781-45",2013
"35785","11263-51","11263-51",2013
"35786","11263-51","42310-54",2013
"35787","62881-93","166976-56",2013
"35788","62881-93","62881-93",2013
"35789","58592-44","58592-44",2013
"35790","58592-44","98160-76",2013
"35791","10367-47","10367-47",2002
"35792","10367-47","11114-11",2002
"35793","10367-47","11140-03",2002
