"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2017-10-22,138936952,7436.367347,"0",0,4.49,0,67,0,0,33783,0,0,0.389838626800316,0.562387553468672,3.99,76.7047160382112,-22.1040422835921,0,0,0,0,0,2.79296039039519,6.22955453346884,2.38301362496667
2017-10-29,138936952,7119.765306,"1",0,4.49,0,80,0,0,37586,0,0,0.364733996817929,0.50538954855464,3.99,90.65797614401,-23.0165737382718,0,0,0,0,0,3.35344118692842,6.33230149646353,2.31225738678425
2017-11-05,138936952,6883.785714,"0",0,4.49,0,64,0,0,35174,0,0,0.34072524657174,0.450075721622806,3.99,74.9651377255521,-22.3281944726131,0,0,0,0,0,2.88963320025496,5.41994723686265,1.90017119672615
2017-11-12,138936952,6772.306122,"0",0,4.49,0,71,0,0,11260,0,0,0.317844431757292,0.397604190491534,3.99,86.7394014694754,-25.6514033919864,0,0,0,0,0,1.06111975043938,5.75284871442714,1.91131249242181
2017-11-19,138936952,6712.010204,"0",0,4.49,0,71,0,0,42447,0,0,0.29610815306901,0.348773003311526,3.99,84.0321178735282,-25.2360228701561,0,0,0,0,0,3.9094417166308,5.30892963381405,1.65853755592379
2017-11-26,138936952,6632.091837,"1",0,4.49,0.5,159,0,1,17876,0,0,0.27551959948151,0.30405586981595,3.99,159.106121941016,-42.1422931368524,26.8748212369344,0,0,0,0,2.98584818842465,8.97745607155342,2.59978556482789
2017-12-03,138936952,6553.765306,"1",0,4.49,0,95,0,0,43517,0,0,0.256070521026969,0.263657442457701,3.99,111.830944391386,-29.5730566935831,0,0,0,0,0,4.87909213349502,5.61179852764636,1.5235851309536
2017-12-10,138936952,6488.877551,"0",0,4.49,0,71,0,0,33577,0,0,0.237743088851629,0.227574369496805,3.99,87.2715837768418,-26.2203523757728,0,0,0,0,0,3.18682878362998,4.39485225756937,1.11495273887725
2017-12-17,138936952,6408.908163,"1",0,4.49,0,68,2e+05,0,25195,0,0,0.220511614527209,0.195653283517537,3.99,81.8332602717479,-21.7850860141193,0,0,0.984987244999081,0,0,2.07426080848747,3.5374647120202,0.82757368582168
2017-12-24,138936952,6241.306122,"1",0,4.49,0.5,145,2e+05,1,15925,0,0,0.204344112191846,0.167640991612962,3.99,146.839137259467,-40.3926918051566,25.3158279288027,0,1.88880541314831,0,0,2.52131790879045,6.31317106682856,1.35966351278398
2017-12-31,138936952,5913.846939,"0",1,4.49,0.5,42,2e+05,0,45114,0,0,0.189203696278138,0.143225065301401,3.99,41.2993701912135,-13.9173759290801,8.17357278996666,0,0.623827216648243,0,0,2.33759476933122,1.92395300837301,0.383993806710183
