node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46590-85F,153354-61,29,.11507937,1,0,6,47160.852,0,0,.5,0,1,0,0,2017,-122.3957,37.789227,252,6,38,Generating revenue
46590-94F,55317-52,0,0,1,1,4,14865.867,0,0,1,0,1,0,0,2006,-77.171799,39.093407,11,6,20,Exit
46609-48F,54421-12,0,0,1,1,2,674334.56,0,0,1,0,1,0,0,2007,-117.10694,33.022385,10,3,6,Generating revenue
46611-46F,55122-31,6,.40000001,1,1,8,8059.5005,0,0,.5,0,1,0,0,2014,-88.012733,43.020363,15,2,18,Profitable
46612-72F,56841-04,0,0,1,1,0,0,0,0,1,0,1,0,1,2008,-74.993187,40.354736,3,2,2,Generating revenue
46616-05F,56845-72,18,.32727271,1,1,3,2346600.3,0,0,0,0,1,0,0,2013,-122.07846,37.389488,55,16,21,Exit
46619-47F,94703-68,1,.0625,1,1,3,2632.2031,0,0,0,0,1,0,0,2016,-73.996529,40.750744,16,6,14,Generating revenue
46620-82F,94703-68,1,.0625,1,1,3,2632.2031,0,0,0,0,1,0,0,2016,-73.996529,40.750744,16,6,14,Generating revenue
46627-30F,58947-94,1,.06666667,1,1,13,2158572,0,0,0,0,1,0,0,2015,-118.53374,34.050507,15,3,4,Generating revenue
46627-30F,99189-55,1,.06666667,1,1,13,2136600.8,0,0,0,0,1,0,0,2015,-117.90863,33.677223,15,3,4,Generating revenue
46627-30F,227242-81,0,0,1,.5,16,2151625,0,0,.5,0,1,0,0,2018,-118.35868,33.955914,6,2,10,Generating revenue
46627-30F,54155-17,1,.16666667,1,1,3,63085.426,0,0,1,0,1,0,0,2013,-96.121078,41.204632,6,2,3,Out of business
46627-30F,62092-09,1,.16666667,1,1,3,12136.8,0,0,1,0,1,0,0,2013,-96.590233,40.798634,6,2,3,Generating revenue
